Nama;Kegiatan;Kecamatan;Wilayah;Kategori;lat;lng
Jasa Jahit Konveksi;ambil jahitan  ke pabrik jahit ..setor;Surakarta;Surakarta;Surakarta;-7.5790533;110.8418109
Warung Klontong;menjual kebutuhan pokok /sembako di warung;Surakarta;Surakarta;Surakarta;-7.5796658;110.8416577
Brambang Bawang Bu Mala;Menjual bawang merah dan bawang putih;Surakarta;Surakarta;Surakarta;-7.5633707;110.8245582
Toko Sembako Mbak Widy;MENJUAL SEMBAKO DAN ANEKA ES JUS;Surakarta;Surakarta;Surakarta;-7.5824422;110.8378309
Tahu Kupat Pak Agus;menjual tahu kupat;Surakarta;Surakarta;Surakarta;-7.551779745794118;110.81858248550976
Ayam Tora;menjual makanan;Surakarta;Surakarta;Surakarta;-7.495652;110.8066681
Lamongan Bu Srikadi;menjual makanan lamongan;Surakarta;Surakarta;Surakarta;-7.5668265;110.8566751
Penjahit Bh Kw Suroso;Menjahit;Surakarta;Surakarta;Surakarta;-7.4958526;110.8068802
Penjahit Anik;menjahit;Surakarta;Surakarta;Surakarta;-7.4956285;110.8065684
Papeda Mbak Sisri;Membuat Papeda dirumah;Surakarta;Surakarta;Surakarta;-7.5853793;110.8320087
Jenang Lemu Pak Agus;menjual aneka masakan dan gorengan;Surakarta;Surakarta;Surakarta;-7.5833764;110.8267995
Warung Makan Gading;menjual aneka masakan;Surakarta;Surakarta;Surakarta;-7.5833686;110.8269616
Wedangan Pak Dhak Dhuk;menjual masakan;Surakarta;Surakarta;Surakarta;-7.5791611;110.8353961
Hiden Barbeshop;memotong rambut;Surakarta;Surakarta;Surakarta;-7.5802442;110.8312289
Bakso Daging Sapi Goyang Lidah;menjual bakso;Surakarta;Surakarta;Surakarta;-7.5807762;110.8320945
Sosis Goreng Mbak Tias;Membuat Martabak, Sosis Goreng;Surakarta;Surakarta;Surakarta;'-7.5853608;110.8323813
Snak Mbah Wir;menjual  makanan tradisional;Surakarta;Surakarta;Surakarta;-7.5789032;110.8242887
Sosis Basah ,Perkenalkan Bu Sumini;menjual sosis basah;Surakarta;Surakarta;Surakarta;-7.5790173;110.8240944
Fatwa Modiste;jasa penjahit baju;Surakarta;Surakarta;Surakarta;-7.5789636;110.8240811
Warung Kelontong Bu Marini;menjual kebutuhan rumah tangga ;Surakarta;Surakarta;Surakarta;-7.5780403;110.8243278
Toko Kelontong Bu Hery;Menjual sembako, Snack, minuman di rumah;Surakarta;Surakarta;Surakarta;-7.5875734;110.8317773
"Wedangan ""Uye""";wedangan menjual minuman  dan makanan ;Surakarta;Surakarta;Surakarta;-7.5781473;110.8245558
Jual Gas Bu Tutik;menjual gas eceran;Surakarta;Surakarta;Surakarta;-7.5780177;110.824305
Rujak Petis Bu Homsiyah;Menjual Rujak Petis dirumah;Surakarta;Surakarta;Surakarta;-7.5875248;110.8315726
Bakso Bakar Widodo;Menjual Bakso Bakar;Surakarta;Surakarta;Surakarta;-7.588089;110.8327681
Putihan Shuttelcok;membuat putihan shuttelcok;Surakarta;Surakarta;Surakarta;-7.5816469;110.8124105
New Inti Shuttelcok;membuat shuttelcok dari bulu ayam;Surakarta;Surakarta;Surakarta;-7.5816564;110.8124191
Cumi Cumi Snack;membuat makanan snack cumi cumi;Surakarta;Surakarta;Surakarta;-7.5816119;110.811991
Siti Waqidah;menjual bahan pokok misal gula, beras, minyak telur ;Surakarta;Surakarta;Surakarta;-7.5811716;110.8118621
Lumpia Bung Dewi Sri;membuat lumpia untuk disetorkan ke warung warung;Surakarta;Surakarta;Surakarta;-7.5815841;110.8118149
Warmindo Hik Ndeso;warmindo ;Surakarta;Surakarta;Surakarta;-7.5789157;110.808652
Sate Kambing Sogol;jual sate kambing;Surakarta;Surakarta;Surakarta;-7.581264;110.8350228
Ayam Kentucky;menjual makanan;Surakarta;Surakarta;Surakarta;-7.4956004;110.8066238
Penyetan Nuno Bu Wiwik;menjual penyetan;Surakarta;Surakarta;Surakarta;-7.5663945;110.8552581
Warung Soto Bu Surati;WARUNG SOTO ;Surakarta;Surakarta;Surakarta;-7.5411054;110.8280062
Snack Mbak Siska; MENJUAL ANEKAMAKNAN KECIL;Surakarta;Surakarta;Surakarta;-7.580352;110.8401731
Boothportabel;MEMBUAT DAN MENJUAL LEMARI DAN ALAT RUMAH TANGGA DARI ALMUNIUM;Surakarta;Surakarta;Surakarta;-7.5863656;110.8353175
Penjahit Bu Padmi;Menerima Jahitan pakaian dirumah;Surakarta;Surakarta;Surakarta;-7.5876314;110.8318047
Kerajinan Sepatu S.Warto Collection;membuat sepatu dirumah;Surakarta;Surakarta;Surakarta;-7.5872968;110.8321433
Toko Kelontong Mbah Hadi;Menjual sembako di rumah;Surakarta;Surakarta;Surakarta;-7.5873995;110.8325076
Usaha Sayur Mayur Mbah Marikem;Menjual Sayur Mayur di Rumah;Surakarta;Surakarta;Surakarta;-7.5874169;110.8328524
Bengkel Mobil Mas Dwi;Reparasi dan Perawatan Mobil;Surakarta;Surakarta;Surakarta;-7.5868861;110.8325316
Kedai Makanan Bu Supriyati;;Surakarta;Surakarta;Surakarta;-7.5807202;110.8187733
Warung Bu Agus Winarsih;Menjual Aneka minuman ;Surakarta;Surakarta;Surakarta;-7.5808102;110.8197673
Warmindo Bu Bay;Menjual aneka mie ;Surakarta;Surakarta;Surakarta;-7.5812226;110.8186758
Lotek Mbak Annisa;penjual lotek;Surakarta;Surakarta;Surakarta;-7.5695048;110.8345189
Warung Makan Pak Ndol Bd;warung makan;Surakarta;Surakarta;Surakarta;-7.5685719;110.8338021
Eka Snack;membuat aneka snak;Surakarta;Surakarta;Surakarta;-7.5890933;110.8302246
Warung Mak Sarti;wedangan ;Surakarta;Surakarta;Surakarta;-7.5679841;110.835464
Warung Makan;menjual makanan;Surakarta;Surakarta;Surakarta;-7.5542676;110.7856706
Warung Sayur Bu Tarno;menjual sayuran mentah;Surakarta;Surakarta;Surakarta;-7.5774977;110.8242835
Kios Tahu;Menjual aneka tahu ;Surakarta;Surakarta;Surakarta;-7.563396944444444;110.83820341666667
Kios Rambak;Menjual aneka rambak;Surakarta;Surakarta;Surakarta;-7.5632619722222225;110.83820341666667
Jasa Copy Film;jasa copy film;Surakarta;Surakarta;Surakarta;-7.5772296;110.8243316
Wedangan Seberang Istana;warung makanan dan minuman;Surakarta;Surakarta;Surakarta;-7.5765753;110.8290285
Rajna Alfarizky Store;membuat  kipas;Surakarta;Surakarta;Surakarta;-7.5769479;110.8275816
Es Dawet Mas Ulum;menjual es Dawet;Surakarta;Surakarta;Surakarta;-7.5768992;110.8275398
Steak Mr Joe;menjual makanan dan minuman ;Surakarta;Surakarta;Surakarta;-7.5766584;110.8060025
Kios Tahu Goreng;menjual berbagai jenis tahu ;Surakarta;Surakarta;Surakarta;-7.5632219166666665;110.83821866666666
Kios Tempe;menjual berbagai macam tempe;Surakarta;Surakarta;Surakarta;-7.563278194444445;110.8381271111111
Kios Tahu Goreng;menjual berbagai jenis tahu ;Surakarta;Surakarta;Surakarta;-7.5631818611111115;110.83826444444445
Kios Tahu;Menjual aneka tahu ;Surakarta;Surakarta;Surakarta;-7.563220972222222;110.83814238888888
Kios Tempe;Menjual tempe kedelai ;Surakarta;Surakarta;Surakarta;-7.5632619722222225;110.83821866666666
Kios Tahu;Menjuall berbagai jenis tahu ;Surakarta;Surakarta;Surakarta;-7.5632748888888885;110.83808897222222
Kios Sembako;menjual berbagai macam kebutuhan sehari hari ;Surakarta;Surakarta;Surakarta;-7.563263888888889;110.83820341666667
Kios Tahu;menjual aneka jenis tahu dan tempe;Surakarta;Surakarta;Surakarta;-7.56326725;110.83819577777778
Kios Tahu;menjual aneka jenis tahu dan tempe ;Surakarta;Surakarta;Surakarta;-7.563210027777778;110.83824919444444
Kios Tahu;menjual berbagai jenis tahu ;Surakarta;Surakarta;Surakarta;-7.563255805555555;110.83821105555556
Kios Sayuran;menjual berbagai macam sayuran segar ;Surakarta;Surakarta;Surakarta;-7.563253888888889;110.83821105555556
Kios Sayuran;Menjual berbagai macam sayuran segar ;Surakarta;Surakarta;Surakarta;-7.563257194444445;110.83820341666667
Kios Sayuran;menjual berbagai macam sayuran segar;Surakarta;Surakarta;Surakarta;-7.563270055555556;110.83818816666667
Kios Sayuran;menjual berbagai macam sayuran segar ;Surakarta;Surakarta;Surakarta;-7.563250083333333;110.83817288888889
Kios Empon-Empon;menjual macam empon-empon ;Surakarta;Surakarta;Surakarta;-7.5632428888888885;110.83822630555555
Kios Sayuran;menjual berbagai macam sayuran segar;Surakarta;Surakarta;Surakarta;-7.563285805555555;110.83818052777778
Kios Empon-Empon;Menjual berbagai macam empon-empon;Surakarta;Surakarta;Surakarta;-7.563259111111111;110.83821866666666
Kios Sembako;menjual berbagai macam kebutuhan sehari hari;Surakarta;Surakarta;Surakarta;-7.563231;110.83822630555555
Kios Sembako;menjual berbagai macam kebutuhan sehari hari;Surakarta;Surakarta;Surakarta;-7.563231;110.83822630555555
Kios Makanan;menjual makanan / snack kering di kios pasar ;Surakarta;Surakarta;Surakarta;-7.563240027777778;110.83822630555555
Kios Empon-Empon;menjual empon-empon di kios pasar;Surakarta;Surakarta;Surakarta;-7.563220972222222;110.83824919444444
Kios Sayuran;menjual berbagai macam sayuran segar ;Surakarta;Surakarta;Surakarta;-7.563199027777777;110.83824919444444
Lotek Dan Bakmi Toprak Bu Darini;warung makan;Surakarta;Surakarta;Surakarta;-7.5688518;110.8343094
Warung Nasi Cik Mbeho;warung nasi timlo, mie, es;Surakarta;Surakarta;Surakarta;-7.5681981;110.8354712
Timlo Asli Solo;warung nasi timlo;Surakarta;Surakarta;Surakarta;-7.5682329;110.8347349
Warung Bakmi Mbak Tika;warung bakmi ;Surakarta;Surakarta;Surakarta;-7.5679284;110.8351974
Wedangan Bu Sunarmi;wedangan;Surakarta;Surakarta;Surakarta;-7.5679702;110.8353235
Kelontong Cik Ninik;kelontong;Surakarta;Surakarta;Surakarta;-7.5688164;110.833445
Tenongan Dan Catering Bu Suparti;tenongan dan katering (by order);Surakarta;Surakarta;Surakarta;-7.5695648;110.8346917
Warung Bu Yanti;kelontong;Surakarta;Surakarta;Surakarta;-7.5682556;110.8354502
Warung Sayur Mbak Nikhen;warung sayur ;Surakarta;Surakarta;Surakarta;-7.5681433;110.8354979
Warung Mbak Tia;warung es dan snack;Surakarta;Surakarta;Surakarta;-7.5680789;110.8349714
Onde Onde Bu Atun;onde onde dan intip ;Surakarta;Surakarta;Surakarta;-7.5681277;110.8347652
Wedangan Bu Sri;wedangan bu Sri;Surakarta;Surakarta;Surakarta;-7.5790344;110.8244667
Toko Intan;menjual beras, gula, es teh;Surakarta;Surakarta;Surakarta;-7.5809048;110.8278357
Wedangan Klintoh Waduk;menjual makanan wedangan ;Surakarta;Surakarta;Surakarta;-7.5815508;110.811941
Bakmi Thoprak Bu Yani;menjual bakmi thoprak rumahan;Surakarta;Surakarta;Surakarta;-7.5823832;110.8120043
Penjahit Ifa;menjahit pakaian;Surakarta;Surakarta;Surakarta;-7.5748195;110.80651
Kragilan Rt01 Rw12;MEMBUAT TELUR ASIN DAN MENJUALNYA;Surakarta;Surakarta;Surakarta;-7.5361212;110.8276229
